Source Code (sc),Language (slg),Source Type (fmt),Source Name (sn),Source Name - Native Language (asn),Directory Name (dn),Status Name (std),Discontinued Date (dsd),Type of  Coverage - Article Level (lva),Type of  Coverage - Source Level (lvs),Online Date (od),First Issue Online (fio),Description - English Language (de),Description - Native Language (dea),Frequency (frp),Online Availability Target (lag),Update Schedule (upn),External Notes (ntx),Pseudo-IP (pip),Source Web Site Address (url),Publisher Code (pbc),Publisher (pub),Circulation (cir),Circulation Source Code (cis),Circulation Source Name (csn),Primary Source Type Code (pst),Primary Source Type (psd),Source Family Group Code (sfg),Region of Origin Group Code (roo),Most Recent Issue Online (mri)
ALBORSAR,Arabic,article,Alborsanews.com,Alborsanews.com,"Alborsanews.com (Egypt, Arabic Language)",Active,,Full Text,Full Coverage,20130411,20130312,"Alborsanews.com is a business and financial portal from Egypt covering the Egyptian stock exchange, companies, economy and property and banking sectors. Country of origin: Egypt","Alborsanews.com is a business and financial portal from Egypt covering the Egyptian stock exchange, companies, economy and property and banking sectors. Country of origin: Egypt",Daily,Continuously updated,Throughout the day,,ALBWBA,http://www.alborsanews.com,PBCBNC,Business news co.,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210122
ALGPS,English,article,Algeria Press Service,Algeria Press Service,Algeria Press Service,Active,,Full Text,Full Coverage,20090926,20090922,Algeria Press Service is the official government news agency of Algeria. Country of origin: Algeria,Algeria Press Service is the official government news agency of Algeria. Country of origin: Algeria,Daily,Same day as publication date,11 p.m. (GMT),,ALBWBA,http://www.aps.dz,APS,Algerie Presse Service,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Algeria (ALG); Mediterranean (MEDZ); North Africa (NAFR),20210122
ALEGPS,Arabic,article,Algeria Press Service,Algeria Press Service,Algeria Press Service (Arabic Language),Active,,Full Text,Full Coverage,20120604,20120504,Algeria Press Service is the official government news agency of Algeria. Country of origin: Algeria,Algeria Press Service is the official government news agency of Algeria. Country of origin: Algeria,Daily,Continuously updated,Throughout the day,,ALBWBA,http://www.aps.dz,APS,Algerie Presse Service,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); Algeria (ALG); Mediterranean (MEDZ); North Africa (NAFR),20210121
ALGFR,French,article,Algérie-Focus,Algérie-Focus,Algérie-Focus (French Language),Discontinued,20180123.0,Full Text,Full Coverage,20130410,20130303,"General information web site from Algeria launched on 1st November 2008, Algérie-Focus covers the latest events all around the country, analyses social tendencies and puts successful local personalities on the forefront. Country of origin: Algeria","Journal électronique algérien d’information généraliste, indépendant et participatif créé le 1er novembre 2008. Algérie-Focus couvre l’actualité chaude, décrypte les phénomènes de société et promeut les talents algériens. Pays d'origine: Algérie",Daily,Discontinued,Not available,This source has stopped updating.,NOORM,http://www.algerie-focus.com,NOORM,Noor Media SAS,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Algeria (ALG); Mediterranean (MEDZ); North Africa (NAFR),20171206
ALGZET,German,article,Allgemeine Zeitung,Allgemeine Zeitung,"Allgemeine Zeitung (Namibia, German Language)",Active,,Full Text,Full Coverage,20161019,20161012,"Daily online newspaper covering International and national news, politics, economy and culture. Country of origin: Namibia","Online Tageszeitung für internationale und nationale Nachrichten, Politik, Wirtschaft und Kultur. Herkunftsland: Namibia",Daily,As available,As available,,ALBWBA,http://www.az.com.na,PBNAMIB,Namibia Media Holdings,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Namibia (NAMIB); Southern Africa (SOUAFR),20210122
ALMSDR,Arabic,article,Almasdar.tn,Almasdar.tn,Almasdar.tn (Arabic Language),Active,,Full Text,Full Coverage,20140520,20140502,"Specialized web portal in Arabic language, covering the business and financial news in the MENA region and Tunisia. Country of origin: Tunisia","Specialized web portal in Arabic language, covering the business and financial news in the MENA region and Tunisia. Country of origin: Tunisia","Daily source, irregular weekend edition",Same day as publication date,Monday-Friday,,IMG,http://www.almasdar.tn,IMG,Internet Management Group SA,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20210122
HALWIH,French,article,Alwihda,Alwihda,"Alwihda (Chad, French Language)",Active,,Full Text,Full Coverage,20151015,20151008,Online portal of Alwihda which was first published in 1994. Country of origin: Chad,"Site d'information en ligne d'Alwihda, publié pour la première fois en 1994. Pays d'origine: Tchad","Daily source, irregular weekend edition",1 day after publication date,"Daily, as available",,HINDU1,http://www.alwihdainfo.com,HINDU,HT Digital Streams Limited,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Central Africa (CEAFR); Chad (CHAD),20210122
AMCEPN,English,article,AmCham Egypt Project News,AmCham Egypt Project News,AmCham Egypt Project News,Discontinued,20160825.0,Full Text,Full Coverage,20101013,20100625,"The American Chamber of Commerce in Egypt (AmCham) Project News gives quick and easy access to selected projects & news with diverse business opportunities, published in prominent Egyptian newspapers. Country of origin: Egypt","The American Chamber of Commerce in Egypt (AmCham) Project News gives quick and easy access to selected projects & news with diverse business opportunities, published in prominent Egyptian newspapers. Country of origin: Egypt",Monday-Saturday,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://www.amcham.org.eg/,ACCE,American Chamber of Commerce in Egypt,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20160719
AMCETA,English,article,AmCham Egypt Tenders Alert Service (TAS),AmCham Egypt Tenders Alert Service (TAS),AmCham Egypt Tenders Alert Service (TAS),Discontinued,20160825.0,Full Text,Full Coverage,20101013,20100629,"The American Chamber of Commerce in Egypt (AmCham) provides Tenders Alert Service (TAS) that gives quick and easy access to thousands of tenders, projects & news with diverse business opportunities, published in prominent newspapers covering Egypt. Country of origin: Egypt","The American Chamber of Commerce in Egypt (AmCham) provides Tenders Alert Service (TAS) that gives quick and easy access to thousands of tenders, projects & news with diverse business opportunities, published in prominent newspapers covering Egypt. Country of origin: Egypt",Monday-Saturday,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://www.amcham.org.eg,ACCE,American Chamber of Commerce in Egypt,,,,TENDER,Tenders and RFP,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20160719
AMCGCC,English,article,AmCham Gulf Cooperation Council (GCC) Project News,AmCham Gulf Cooperation Council (GCC) Project News,AmCham Gulf Cooperation Council (GCC) Project News,Discontinued,20160825.0,Full Text,Full Coverage,20101013,20100615,"The American Chamber of Commerce in Egypt (AmCham) Gulf Cooperation Council (GCC) Project News gives quick and easy access to selected projects & news with diverse business opportunities, published in prominent newspapers covering the GCC region. Country of origin: Egypt","The American Chamber of Commerce in Egypt (AmCham) Gulf Cooperation Council (GCC) Project News gives quick and easy access to selected projects & news with diverse business opportunities, published in prominent newspapers covering the GCC region. Country of origin: Egypt",Daily,Discontinued,Not available,This source has stopped updating.,ALBWBA,http://www.amcham.org.eg,ACCE,American Chamber of Commerce in Egypt,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20160719
APASENE,English,article,APANEWS,APANEWS,APANEWS,Active,,Full Text,Full Coverage,20100414,20100301,Agence de Presse Africaine is an independent press agency created in 2006 offering the latest news in Africa and worldwide with an African point of view. It covers all topics from business to politics and culture to sports. Country of origin: Senegal,Agence de Presse Africaine is an independent press agency created in 2006 offering the latest news in Africa and worldwide with an African point of view. It covers all topics from business to politics and culture to sports. Country of origin: Senegal,Daily,Continuously updated,As available,,AGPAF2,http://www.apanews.net,AGPAF,Agence de Presse Africaine,,,,NWSWR,Wires: Newswires,APANEWS (Africa) - All sources (SFAPAN),Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20210122
APASENF,French,article,APANEWS,APANEWS,APANEWS (French Language),Active,,Full Text,Full Coverage,20100415,20100321,Agence de Presse Africaine is an independent press agency created in 2006 offering the latest news in Africa and worldwide with an African point of view. It covers all topics from business to politics and culture to sports. Country of origin: Senegal,"L´Agence de Presse Africaine est une agence indépendante créée en 2006 couvrant l’actualité du continent africain et du monde d’un point de vue africain. Elle aborde tous les sujets d’actualités, de l’économie à la politique en passant par la culture et le sport. Pays d'origine: Sénégal",Daily,Continuously updated,Throughout the day,This publication contains also articles in English.,AGPAF1,http://www.apanews.net,AGPAF,Agence de Presse Africaine,,,,NWSWR,Wires: Newswires,APANEWS (Africa) - All sources (SFAPAN),Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20210122
ARFIN,English,article,Arab Finance,Arab Finance,Arab Finance,Active,,Full Text,Full Coverage,20131231,20131124,Arab Finance Brokerage offers online trading and up-to-the-minute market news with a main focus on the Egyptian Market. Country of origin: Egypt,Arab Finance Brokerage offers online trading and up-to-the-minute market news with a main focus on the Egyptian Market. Country of origin: Egypt,Daily,Continuously updated,As available,,ALBWBA,http://arabfinance.com/2015/pages/Default.aspx?lang=ar,ARAFIN,Arab Finance,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210122
ARBFN,Arabic,article,Arab Finance,Arab Finance,"Arab Finance (Egypt, Arabic Language)",Active,,Full Text,Full Coverage,20110430,20100701,Online trading and up-to-the-minute market news with a main focus on the Egyptian markets. Country of origin: Egypt,Online trading and up-to-the-minute market news with a main focus on the Egyptian markets. Country of origin: Egypt,Sunday-Thursday,Same day as publication date,As available,,ALBWBA,http://www.arabfinance.com,ARAFIN,Arab Finance,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210121
ASBAHO,Arabic,article,Assabah Al Ousboui,Assabah Al Ousboui,"Assabah Al Ousboui (Tunisia, Arabic Language)",Discontinued,20190905.0,Full Text,Full Coverage,20161019,20161018,"National weekly newspaper covering national and international news, current affairs, politics, sports and entertainment. Country of origin: Tunisia","National weekly newspaper covering national and international news, current affairs, politics, sports and entertainment. Country of origin: Tunisia",Weekly,Discontinued,Not available,Source is government owned or controlled. | This source has stopped updating,ALBWBA,http://www.assabah.com.tn,DARASSA,Dar Assabah,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20190208
ASMAREN,English,article,Aswat Masriya,Aswat Masriya,Aswat Masriya,Discontinued,20170427.0,Full Text,Full Coverage,20130411,20130403,"Aswat Masriya English is the sister site of Aswat Masriya, which provides Egyptians with essential elections news and information. The websites are part of a Thomson Reuters Foundation initiative to increase democracy through strengthening the media in Egypt.  Country of origin: Egypt","Aswat Masriya English is the sister site of Aswat Masriya, which provides Egyptians with essential elections news and information. The websites are part of a Thomson Reuters Foundation initiative to increase democracy through strengthening the media in Egypt.  Country of origin: Egypt",Daily,Discontinued,Not available,,ALBWBA,http://en.aswatmasriya.com,ASMAS,Aswat Masriya,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20170427
